property,url,status,title
background-image,http://www.w3.org/TR/2011/REC-CSS2-20110607/colors.html#propdef-background-image,REC,CSS 2.1
background-image,https://drafts.csswg.org/css-backgrounds/#propdef-background-image,ED,CSS Backgrounds and Borders Module Level 3
background-image,https://www.w3.org/TR/2017/CR-css-backgrounds-3-20171017/#propdef-background-image,CR,CSS Backgrounds and Borders Module Level 3
background-origin,https://drafts.csswg.org/css-backgrounds/#propdef-background-origin,ED,CSS Backgrounds and Borders Module Level 3
background-origin,https://www.w3.org/TR/2017/CR-css-backgrounds-3-20171017/#propdef-background-origin,CR,CSS Backgrounds and Borders Module Level 3
background-position,http://www.w3.org/TR/2011/REC-CSS2-20110607/colors.html#propdef-background-position,REC,CSS 2.1
background-position,https://drafts.csswg.org/css-backgrounds/#propdef-background-position,ED,CSS Backgrounds and Borders Module Level 3
background-position,https://www.w3.org/TR/2017/CR-css-backgrounds-3-20171017/#propdef-background-position,CR,CSS Backgrounds and Borders Module Level 3
background-repeat,http://www.w3.org/TR/2011/REC-CSS2-20110607/colors.html#propdef-background-repeat,REC,CSS 2.1
background-repeat,https://drafts.csswg.org/css-backgrounds/#propdef-background-repeat,ED,CSS Backgrounds and Borders Module Level 3
background-repeat,https://www.w3.org/TR/2017/CR-css-backgrounds-3-20171017/#propdef-background-repeat,CR,CSS Backgrounds and Borders Module Level 3
background-size,https://drafts.csswg.org/css-backgrounds/#propdef-background-size,ED,CSS Backgrounds and Borders Module Level 3
background-size,https://www.w3.org/TR/2017/CR-css-backgrounds-3-20171017/#propdef-background-size,CR,CSS Backgrounds and Borders Module Level 3
baseline-shift,https://drafts.csswg.org/css-inline-3/#propdef-baseline-shift,ED,CSS Inline Layout Module Level 3
baseline-shift,https://www.w3.org/TR/2018/WD-css-inline-3-20180808/#propdef-baseline-shift,WD,CSS Inline Layout Module Level 3
baseline-source,https://drafts.csswg.org/css-inline-3/#propdef-baseline-source,ED,CSS Inline Layout Module Level 3
block-ellipsis,https://drafts.csswg.org/css-overflow-3/#propdef-block-ellipsis,ED,CSS Overflow Module Level 3
block-overflow,https://www.w3.org/TR/2018/WD-css-overflow-3-20180731/#propdef-block-overflow,WD,CSS Overflow Module Level 3
block-size,https://drafts.csswg.org/css-logical-1/#propdef-block-size,ED,CSS Logical Properties and Values Level 1
block-size,https://www.w3.org/TR/2018/WD-css-logical-1-20180827/#propdef-block-size,WD,CSS Logical Properties and Values Level 1
block-step,https://drafts.csswg.org/css-rhythm/#propdef-block-step,ED,CSS Rhythmic Sizing
block-step,https://www.w3.org/TR/2017/WD-css-rhythm-1-20170302/#propdef-block-step,FPWD,CSS Rhythmic Sizing
block-step-align,https://drafts.csswg.org/css-rhythm/#propdef-block-step-align,ED,CSS Rhythmic Sizing
block-step-align,https://www.w3.org/TR/2017/WD-css-rhythm-1-20170302/#propdef-block-step-align,FPWD,CSS Rhythmic Sizing
block-step-insert,https://drafts.csswg.org/css-rhythm/#propdef-block-step-insert,ED,CSS Rhythmic Sizing
block-step-insert,https://www.w3.org/TR/2017/WD-css-rhythm-1-20170302/#propdef-block-step-insert,FPWD,CSS Rhythmic Sizing
block-step-round,https://drafts.csswg.org/css-rhythm/#propdef-block-step-round,ED,CSS Rhythmic Sizing
block-step-round,https://www.w3.org/TR/2017/WD-css-rhythm-1-20170302/#propdef-block-step-round,FPWD,CSS Rhythmic Sizing
block-step-size,https://drafts.csswg.org/css-rhythm/#propdef-block-step-size,ED,CSS Rhythmic Sizing
block-step-size,https://www.w3.org/TR/2017/WD-css-rhythm-1-20170302/#propdef-block-step-size,FPWD,CSS Rhythmic Sizing
bookmark-label,http://www.w3.org/TR/2014/WD-css-gcpm-3-20140513/#propdef-bookmark-label,WD,CSS Generated Content for Paged Media Module
bookmark-label,https://drafts.csswg.org/css-content-3/#propdef-bookmark-label,ED,CSS Generated Content Module Level 3
bookmark-label,https://www.w3.org/TR/2019/WD-css-content-3-20190802/#propdef-bookmark-label,WD,CSS Generated Content Module Level 3
bookmark-level,http://www.w3.org/TR/2014/WD-css-gcpm-3-20140513/#propdef-bookmark-level,WD,CSS Generated Content for Paged Media Module
bookmark-level,https://drafts.csswg.org/css-content-3/#propdef-bookmark-level,ED,CSS Generated Content Module Level 3
bookmark-level,https://www.w3.org/TR/2019/WD-css-content-3-20190802/#propdef-bookmark-level,WD,CSS Generated Content Module Level 3
bookmark-state,http://www.w3.org/TR/2014/WD-css-gcpm-3-20140513/#propdef-bookmark-state,WD,CSS Generated Content for Paged Media Module
bookmark-state,https://drafts.csswg.org/css-content-3/#propdef-bookmark-state,ED,CSS Generated Content Module Level 3
bookmark-state,https://www.w3.org/TR/2019/WD-css-content-3-20190802/#propdef-bookmark-state,WD,CSS Generated Content Module Level 3
border,http://www.w3.org/TR/2011/REC-CSS2-20110607/box.html#propdef-border,REC,CSS 2.1
border,https://drafts.csswg.org/css-backgrounds/#propdef-border,ED,CSS Backgrounds and Borders Module Level 3
border,https://www.w3.org/TR/2017/CR-css-backgrounds-3-20171017/#propdef-border,CR,CSS Backgrounds and Borders Module Level 3
border-block,https://drafts.csswg.org/css-logical-1/#propdef-border-block,ED,CSS Logical Properties and Values Level 1
border-block,https://www.w3.org/TR/2018/WD-css-logical-1-20180827/#propdef-border-block,WD,CSS Logical Properties and Values Level 1
border-block-color,https://drafts.csswg.org/css-logical-1/#propdef-border-block-color,ED,CSS Logical Properties and Values Level 1
border-block-color,https://www.w3.org/TR/2018/WD-css-logical-1-20180827/#propdef-border-block-color,WD,CSS Logical Properties and Values Level 1
border-block-end,https://drafts.csswg.org/css-logical-1/#propdef-border-block-end,ED,CSS Logical Properties and Values Level 1
border-block-end,https://www.w3.org/TR/2018/WD-css-logical-1-20180827/#propdef-border-block-end,WD,CSS Logical Properties and Values Level 1
border-block-end-color,https://drafts.csswg.org/css-logical-1/#propdef-border-block-end-color,ED,CSS Logical Properties and Values Level 1
border-block-end-color,https://www.w3.org/TR/2018/WD-css-logical-1-20180827/#propdef-border-block-end-color,WD,CSS Logical Properties and Values Level 1
border-block-end-style,https://drafts.csswg.org/css-logical-1/#propdef-border-block-end-style,ED,CSS Logical Properties and Values Level 1
border-block-end-style,https://www.w3.org/TR/2018/WD-css-logical-1-20180827/#propdef-border-block-end-style,WD,CSS Logical Properties and Values Level 1
border-block-end-width,https://drafts.csswg.org/css-logical-1/#propdef-border-block-end-width,ED,CSS Logical Properties and Values Level 1
border-block-end-width,https://www.w3.org/TR/2018/WD-css-logical-1-20180827/#propdef-border-block-end-width,WD,CSS Logical Properties and Values Level 1
border-block-start,https://drafts.csswg.org/css-logical-1/#propdef-border-block-start,ED,CSS Logical Properties and Values Level 1
border-block-start,https://www.w3.org/TR/2018/WD-css-logical-1-20180827/#propdef-border-block-start,WD,CSS Logical Properties and Values Level 1
border-block-start-color,https://drafts.csswg.org/css-logical-1/#propdef-border-block-start-color,ED,CSS Logical Properties and Values Level 1
border-block-start-color,https://www.w3.org/TR/2018/WD-css-logical-1-20180827/#propdef-border-block-start-color,WD,CSS Logical Properties and Values Level 1
border-block-start-style,https://drafts.csswg.org/css-logical-1/#propdef-border-block-start-style,ED,CSS Logical Properties and Values Level 1
border-block-start-style,https://www.w3.org/TR/2018/WD-css-logical-1-20180827/#propdef-border-block-start-style,WD,CSS Logical Properties and Values Level 1
border-block-start-width,https://drafts.csswg.org/css-logical-1/#propdef-border-block-start-width,ED,CSS Logical Properties and Values Level 1
border-block-start-width,https://www.w3.org/TR/2018/WD-css-logical-1-20180827/#propdef-border-block-start-width,WD,CSS Logical Properties and Values Level 1
border-block-style,https://drafts.csswg.org/css-logical-1/#propdef-border-block-style,ED,CSS Logical Properties and Values Level 1
border-block-style,https://www.w3.org/TR/2018/WD-css-logical-1-20180827/#propdef-border-block-style,WD,CSS Logical Properties and Values Level 1
border-block-width,https://drafts.csswg.org/css-logical-1/#propdef-border-block-width,ED,CSS Logical Properties and Values Level 1
border-block-width,https://www.w3.org/TR/2018/WD-css-logical-1-20180827/#propdef-border-block-width,WD,CSS Logical Properties and Values Level 1
border-bottom,http://www.w3.org/TR/2011/REC-CSS2-20110607/box.html#propdef-border-bottom,REC,CSS 2.1
border-bottom,https://drafts.csswg.org/css-backgrounds/#propdef-border-bottom,ED,CSS Backgrounds and Borders Module Level 3
border-bottom,https://www.w3.org/TR/2017/CR-css-backgrounds-3-20171017/#propdef-border-bottom,CR,CSS Backgrounds and Borders Module Level 3
border-bottom-color,http://www.w3.org/TR/2011/REC-CSS2-20110607/box.html#propdef-border-bottom-color,REC,CSS 2.1
border-bottom-color,https://drafts.csswg.org/css-backgrounds/#propdef-border-bottom-color,ED,CSS Backgrounds and Borders Module Level 3
border-bottom-color,https://www.w3.org/TR/2017/CR-css-backgrounds-3-20171017/#propdef-border-bottom-color,CR,CSS Backgrounds and Borders Module Level 3
border-bottom-left-radius,https://drafts.csswg.org/css-backgrounds/#propdef-border-bottom-left-radius,ED,CSS Backgrounds and Borders Module Level 3
border-bottom-left-radius,https://www.w3.org/TR/2017/CR-css-backgrounds-3-20171017/#propdef-border-bottom-left-radius,CR,CSS Backgrounds and Borders Module Level 3
border-bottom-right-radius,https://drafts.csswg.org/css-backgrounds/#propdef-border-bottom-right-radius,ED,CSS Backgrounds and Borders Module Level 3
border-bottom-right-radius,https://www.w3.org/TR/2017/CR-css-backgrounds-3-20171017/#propdef-border-bottom-right-radius,CR,CSS Backgrounds and Borders Module Level 3
border-bottom-style,http://www.w3.org/TR/2011/REC-CSS2-20110607/box.html#propdef-border-bottom-style,REC,CSS 2.1
border-bottom-style,https://drafts.csswg.org/css-backgrounds/#propdef-border-bottom-style,ED,CSS Backgrounds and Borders Module Level 3
border-bottom-style,https://www.w3.org/TR/2017/CR-css-backgrounds-3-20171017/#propdef-border-bottom-style,CR,CSS Backgrounds and Borders Module Level 3
border-bottom-width,http://www.w3.org/TR/2011/REC-CSS2-20110607/box.html#propdef-border-bottom-width,REC,CSS 2.1
border-bottom-width,https://drafts.csswg.org/css-backgrounds/#propdef-border-bottom-width,ED,CSS Backgrounds and Borders Module Level 3
border-bottom-width,https://www.w3.org/TR/2017/CR-css-backgrounds-3-20171017/#propdef-border-bottom-width,CR,CSS Backgrounds and Borders Module Level 3
border-boundary,https://drafts.csswg.org/css-round-display/#propdef-border-boundary,ED,CSS Round Display Level 1
border-boundary,https://www.w3.org/TR/2016/WD-css-round-display-1-20161222/#propdef-border-boundary,WD,CSS Round Display Level 1
border-collapse,http://www.w3.org/TR/2011/REC-CSS2-20110607/tables.html#propdef-border-collapse,REC,CSS 2.1
border-collapse,https://drafts.csswg.org/css-tables-3/#propdef-border-collapse,ED,CSS Table Module Level 3
border-collapse,https://www.w3.org/TR/2019/WD-css-tables-3-20190727/#propdef-border-collapse,WD,CSS Table Module Level 3
border-color,http://www.w3.org/TR/2011/REC-CSS2-20110607/box.html#propdef-border-color,REC,CSS 2.1
border-color,https://drafts.csswg.org/css-backgrounds/#propdef-border-color,ED,CSS Backgrounds and Borders Module Level 3
border-color,https://www.w3.org/TR/2017/CR-css-backgrounds-3-20171017/#propdef-border-color,CR,CSS Backgrounds and Borders Module Level 3
border-end-end-radius,https://drafts.csswg.org/css-logical-1/#propdef-border-end-end-radius,ED,CSS Logical Properties and Values Level 1
border-end-end-radius,https://www.w3.org/TR/2018/WD-css-logical-1-20180827/#propdef-border-end-end-radius,WD,CSS Logical Properties and Values Level 1
border-end-start-radius,https://drafts.csswg.org/css-logical-1/#propdef-border-end-start-radius,ED,CSS Logical Properties and Values Level 1
border-end-start-radius,https://www.w3.org/TR/2018/WD-css-logical-1-20180827/#propdef-border-end-start-radius,WD,CSS Logical Properties and Values Level 1
border-image,https://drafts.csswg.org/css-backgrounds/#propdef-border-image,ED,CSS Backgrounds and Borders Module Level 3
border-image,https://www.w3.org/TR/2017/CR-css-backgrounds-3-20171017/#propdef-border-image,CR,CSS Backgrounds and Borders Module Level 3
border-image-outset,https://drafts.csswg.org/css-backgrounds/#propdef-border-image-outset,ED,CSS Backgrounds and Borders Module Level 3
border-image-outset,https://www.w3.org/TR/2017/CR-css-backgrounds-3-20171017/#propdef-border-image-outset,CR,CSS Backgrounds and Borders Module Level 3
border-image-repeat,https://drafts.csswg.org/css-backgrounds/#propdef-border-image-repeat,ED,CSS Backgrounds and Borders Module Level 3
border-image-repeat,https://www.w3.org/TR/2017/CR-css-backgrounds-3-20171017/#propdef-border-image-repeat,CR,CSS Backgrounds and Borders Module Level 3
border-image-slice,https://drafts.csswg.org/css-backgrounds/#propdef-border-image-slice,ED,CSS Backgrounds and Borders Module Level 3
border-image-slice,https://www.w3.org/TR/2017/CR-css-backgrounds-3-20171017/#propdef-border-image-slice,CR,CSS Backgrounds and Borders Module Level 3
border-image-source,https://drafts.csswg.org/css-backgrounds/#propdef-border-image-source,ED,CSS Backgrounds and Borders Module Level 3
border-image-source,https://www.w3.org/TR/2017/CR-css-backgrounds-3-20171017/#propdef-border-image-source,CR,CSS Backgrounds and Borders Module Level 3
border-image-width,https://drafts.csswg.org/css-backgrounds/#propdef-border-image-width,ED,CSS Backgrounds and Borders Module Level 3
border-image-width,https://www.w3.org/TR/2017/CR-css-backgrounds-3-20171017/#propdef-border-image-width,CR,CSS Backgrounds and Borders Module Level 3
border-inline,https://drafts.csswg.org/css-logical-1/#propdef-border-inline,ED,CSS Logical Properties and Values Level 1
border-inline,https://www.w3.org/TR/2018/WD-css-logical-1-20180827/#propdef-border-inline,WD,CSS Logical Properties and Values Level 1
border-inline-color,https://drafts.csswg.org/css-logical-1/#propdef-border-inline-color,ED,CSS Logical Properties and Values Level 1
border-inline-color,https://www.w3.org/TR/2018/WD-css-logical-1-20180827/#propdef-border-inline-color,WD,CSS Logical Properties and Values Level 1
border-inline-end,https://drafts.csswg.org/css-logical-1/#propdef-border-inline-end,ED,CSS Logical Properties and Values Level 1
border-inline-end,https://www.w3.org/TR/2018/WD-css-logical-1-20180827/#propdef-border-inline-end,WD,CSS Logical Properties and Values Level 1
border-inline-end-color,https://drafts.csswg.org/css-logical-1/#propdef-border-inline-end-color,ED,CSS Logical Properties and Values Level 1
border-inline-end-color,https://www.w3.org/TR/2018/WD-css-logical-1-20180827/#propdef-border-inline-end-color,WD,CSS Logical Properties and Values Level 1
border-inline-end-style,https://drafts.csswg.org/css-logical-1/#propdef-border-inline-end-style,ED,CSS Logical Properties and Values Level 1
border-inline-end-style,https://www.w3.org/TR/2018/WD-css-logical-1-20180827/#propdef-border-inline-end-style,WD,CSS Logical Properties and Values Level 1
border-inline-end-width,https://drafts.csswg.org/css-logical-1/#propdef-border-inline-end-width,ED,CSS Logical Properties and Values Level 1
border-inline-end-width,https://www.w3.org/TR/2018/WD-css-logical-1-20180827/#propdef-border-inline-end-width,WD,CSS Logical Properties and Values Level 1
border-inline-start,https://drafts.csswg.org/css-logical-1/#propdef-border-inline-start,ED,CSS Logical Properties and Values Level 1
border-inline-start,https://www.w3.org/TR/2018/WD-css-logical-1-20180827/#propdef-border-inline-start,WD,CSS Logical Properties and Values Level 1
border-inline-start-color,https://drafts.csswg.org/css-logical-1/#propdef-border-inline-start-color,ED,CSS Logical Properties and Values Level 1
border-inline-start-color,https://www.w3.org/TR/2018/WD-css-logical-1-20180827/#propdef-border-inline-start-color,WD,CSS Logical Properties and Values Level 1
border-inline-start-style,https://drafts.csswg.org/css-logical-1/#propdef-border-inline-start-style,ED,CSS Logical Properties and Values Level 1
border-inline-start-style,https://www.w3.org/TR/2018/WD-css-logical-1-20180827/#propdef-border-inline-start-style,WD,CSS Logical Properties and Values Level 1
border-inline-start-width,https://drafts.csswg.org/css-logical-1/#propdef-border-inline-start-width,ED,CSS Logical Properties and Values Level 1
border-inline-start-width,https://www.w3.org/TR/2018/WD-css-logical-1-20180827/#propdef-border-inline-start-width,WD,CSS Logical Properties and Values Level 1
border-inline-style,https://drafts.csswg.org/css-logical-1/#propdef-border-inline-style,ED,CSS Logical Properties and Values Level 1
border-inline-style,https://www.w3.org/TR/2018/WD-css-logical-1-20180827/#propdef-border-inline-style,WD,CSS Logical Properties and Values Level 1
border-inline-width,https://drafts.csswg.org/css-logical-1/#propdef-border-inline-width,ED,CSS Logical Properties and Values Level 1
border-inline-width,https://www.w3.org/TR/2018/WD-css-logical-1-20180827/#propdef-border-inline-width,WD,CSS Logical Properties and Values Level 1
border-left,http://www.w3.org/TR/2011/REC-CSS2-20110607/box.html#propdef-border-left,REC,CSS 2.1
border-left,https://drafts.csswg.org/css-backgrounds/#propdef-border-left,ED,CSS Backgrounds and Borders Module Level 3
border-left,https://www.w3.org/TR/2017/CR-css-backgrounds-3-20171017/#propdef-border-left,CR,CSS Backgrounds and Borders Module Level 3
border-left-color,http://www.w3.org/TR/2011/REC-CSS2-20110607/box.html#propdef-border-left-color,REC,CSS 2.1
border-left-color,https://drafts.csswg.org/css-backgrounds/#propdef-border-left-color,ED,CSS Backgrounds and Borders Module Level 3
border-left-color,https://www.w3.org/TR/2017/CR-css-backgrounds-3-20171017/#propdef-border-left-color,CR,CSS Backgrounds and Borders Module Level 3
border-left-style,http://www.w3.org/TR/2011/REC-CSS2-20110607/box.html#propdef-border-left-style,REC,CSS 2.1
border-left-style,https://drafts.csswg.org/css-backgrounds/#propdef-border-left-style,ED,CSS Backgrounds and Borders Module Level 3
border-left-style,https://www.w3.org/TR/2017/CR-css-backgrounds-3-20171017/#propdef-border-left-style,CR,CSS Backgrounds and Borders Module Level 3
border-left-width,http://www.w3.org/TR/2011/REC-CSS2-20110607/box.html#propdef-border-left-width,REC,CSS 2.1
border-left-width,https://drafts.csswg.org/css-backgrounds/#propdef-border-left-width,ED,CSS Backgrounds and Borders Module Level 3
border-left-width,https://www.w3.org/TR/2017/CR-css-backgrounds-3-20171017/#propdef-border-left-width,CR,CSS Backgrounds and Borders Module Level 3
border-radius,https://drafts.csswg.org/css-backgrounds/#propdef-border-radius,ED,CSS Backgrounds and Borders Module Level 3
border-radius,https://www.w3.org/TR/2017/CR-css-backgrounds-3-20171017/#propdef-border-radius,CR,CSS Backgrounds and Borders Module Level 3
border-right,http://www.w3.org/TR/2011/REC-CSS2-20110607/box.html#propdef-border-right,REC,CSS 2.1
border-right,https://drafts.csswg.org/css-backgrounds/#propdef-border-right,ED,CSS Backgrounds and Borders Module Level 3
border-right,https://www.w3.org/TR/2017/CR-css-backgrounds-3-20171017/#propdef-border-right,CR,CSS Backgrounds and Borders Module Level 3
border-right-color,http://www.w3.org/TR/2011/REC-CSS2-20110607/box.html#propdef-border-right-color,REC,CSS 2.1
border-right-color,https://drafts.csswg.org/css-backgrounds/#propdef-border-right-color,ED,CSS Backgrounds and Borders Module Level 3
border-right-color,https://www.w3.org/TR/2017/CR-css-backgrounds-3-20171017/#propdef-border-right-color,CR,CSS Backgrounds and Borders Module Level 3
border-right-style,http://www.w3.org/TR/2011/REC-CSS2-20110607/box.html#propdef-border-right-style,REC,CSS 2.1
border-right-style,https://drafts.csswg.org/css-backgrounds/#propdef-border-right-style,ED,CSS Backgrounds and Borders Module Level 3
border-right-style,https://www.w3.org/TR/2017/CR-css-backgrounds-3-20171017/#propdef-border-right-style,CR,CSS Backgrounds and Borders Module Level 3
border-right-width,http://www.w3.org/TR/2011/REC-CSS2-20110607/box.html#propdef-border-right-width,REC,CSS 2.1
border-right-width,https://drafts.csswg.org/css-backgrounds/#propdef-border-right-width,ED,CSS Backgrounds and Borders Module Level 3
border-right-width,https://www.w3.org/TR/2017/CR-css-backgrounds-3-20171017/#propdef-border-right-width,CR,CSS Backgrounds and Borders Module Level 3
border-spacing,http://www.w3.org/TR/2011/REC-CSS2-20110607/tables.html#propdef-border-spacing,REC,CSS 2.1
border-spacing,https://drafts.csswg.org/css-tables-3/#propdef-border-spacing,ED,CSS Table Module Level 3
border-spacing,https://www.w3.org/TR/2019/WD-css-tables-3-20190727/#propdef-border-spacing,WD,CSS Table Module Level 3
border-start-end-radius,https://drafts.csswg.org/css-logical-1/#propdef-border-start-end-radius,ED,CSS Logical Properties and Values Level 1
border-start-end-radius,https://www.w3.org/TR/2018/WD-css-logical-1-20180827/#propdef-border-start-end-radius,WD,CSS Logical Properties and Values Level 1
border-start-start-radius,https://drafts.csswg.org/css-logical-1/#propdef-border-start-start-radius,ED,CSS Logical Properties and Values Level 1
border-start-start-radius,https://www.w3.org/TR/2018/WD-css-logical-1-20180827/#propdef-border-start-start-radius,WD,CSS Logical Properties and Values Level 1
border-style,http://www.w3.org/TR/2011/REC-CSS2-20110607/box.html#propdef-border-style,REC,CSS 2.1
border-style,https://drafts.csswg.org/css-backgrounds/#propdef-border-style,ED,CSS Backgrounds and Borders Module Level 3
border-style,https://www.w3.org/TR/2017/CR-css-backgrounds-3-20171017/#propdef-border-style,CR,CSS Backgrounds and Borders Module Level 3
border-top,http://www.w3.org/TR/2011/REC-CSS2-20110607/box.html#propdef-border-top,REC,CSS 2.1
border-top,https://drafts.csswg.org/css-backgrounds/#propdef-border-top,ED,CSS Backgrounds and Borders Module Level 3
border-top,https://www.w3.org/TR/2017/CR-css-backgrounds-3-20171017/#propdef-border-top,CR,CSS Backgrounds and Borders Module Level 3
border-top-color,http://www.w3.org/TR/2011/REC-CSS2-20110607/box.html#propdef-border-top-color,REC,CSS 2.1
border-top-color,https://drafts.csswg.org/css-backgrounds/#propdef-border-top-color,ED,CSS Backgrounds and Borders Module Level 3
